Name_Of_Region,Min_Year,Max_Year,Number_Of_Attacks,Number_of_Deaths,Average_Deaths,Mode
Central America,1970,2018,8036,28717,3.573544052,0
SE Asia,1970,2018,13068,16257,1.244031221,0
N America,1970,2018,3486,5017,1.439185313,0
S America,1970,2018,17612,29052,1.64955712,0
W Europe,1970,2018,15931,6643,0.416985751,0
SSA,1970,2018,17797,85020,4.777209642,0
MEA,1970,2018,50646,142214,2.808000632,0
E Asia,1970,2018,769,1154,1.500650195,0
EE,1970,2018,5050,7457,1.476633663,0
OC,1970,2018,298,152,0.510067114,0
S Asia,1970,2018,47174,112263,2.379764277,0
Central Asia,1991,2018,567,1035,1.825396825,0
