Terrorist_Organization,Min_Year,Max_Year,Min_Month,Max_Month,Min_Day,Max_Day,Number_Of_Attacks,Number_Of_Deaths
MANO-D,1970,1970,7,7,2,2,1,1
Black Nationalists,1970,1995,1,12,0,30,92,27
Tupamaros (Uruguay),1970,1971,1,12,0,31,37,4
New Year's Gang,1970,1970,1,8,2,24,4,1
"Weather Underground, Weathermen",1970,1975,1,11,1,30,44,1
Left-Wing Militants,1970,1995,1,12,0,31,172,6
Armed Commandos of Liberation,1970,1971,1,11,5,25,13,5
Eritrean Liberation Front,1970,1992,1,12,0,27,19,32
Strikers,1970,2003,1,11,1,30,48,3
Student Radicals,1970,1995,1,12,0,31,74,0
White supremacists/nationalists,1970,2018,1,12,0,31,123,93
Armed Forces of National Liberation- Venezuela (FALN),1970,1971,1,6,1,22,4,0
New People's Army (NPA),1970,2018,1,12,0,31,2964,4571
Armed Revolutionary Independence Movement (MIRA),1970,1973,2,12,1,25,30,0
Popular Front for the Liberation of Palestine (PFLP),1970,2017,1,12,0,31,138,148
"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",1970,2013,2,11,6,25,8,173
1st of May Group,1970,1971,3,10,0,27,3,0
Rebel Armed Forces of Guatemala (FAR),1970,1989,2,12,1,31,26,49
Ku Klux Klan,1970,2017,1,12,3,30,26,7
Popular Revolutionary Vanguard (VPR),1970,1970,3,12,5,11,4,2
Revolutionary Force 9,1970,1970,3,3,12,12,3,0
Puerto Rican Nationalists,1970,1991,2,12,0,28,23,0
Chicano Liberation Front,1970,1975,1,8,1,29,31,2
Puerto Rican Resistance Movement,1970,1971,3,3,1,21,3,0
Black Panthers,1970,1972,3,10,2,31,24,6
Dominican Popular Movement (MPD),1970,1974,3,9,24,27,2,0
Argentine Liberation Front (FAL),1970,1974,3,11,2,24,6,1
Argentine National Organization Movement (MANO),1970,1970,3,3,29,29,1,0
Japanese Red Army (JRA),1970,1988,1,9,1,31,9,31
Saor Eire (Irish Republican Group),1970,1971,4,10,3,27,2,2
New World Liberation Front (NWLF),1970,1978,1,12,1,31,86,1
Cuban Exiles,1970,2000,1,12,0,30,22,0
The World United Formosans for Independence (WUFI),1970,1970,4,4,24,24,1,0
Palestinians,1970,2002,1,12,0,31,974,536
Extraparliamentary Opposition (APO),1970,1970,4,9,5,28,4,0
Revolutionary Force 26,1970,1970,5,5,1,1,2,0
Black Afro Militant Movement,1970,1971,2,5,5,20,4,1
Stop the War Coalition,1970,1970,5,5,9,9,1,0
Cuban Action,1970,1975,2,8,2,27,13,0
Jewish Defense League (JDL),1970,2013,1,12,0,30,80,4
Right-wing extremists,1970,2018,1,12,1,30,69,119
Montoneros (Argentina),1970,1979,1,12,0,29,100,212
Kabataang Makabayan (KM),1970,1970,6,6,6,6,1,0
Irish Republican Army (IRA),1970,2011,1,12,0,31,2522,1793
Ulster Volunteer Force (UVF),1970,2017,1,12,1,31,267,367
National Committee to Combat Fascism,1970,1970,6,10,24,28,2,1
Revolutionary Force Seven,1970,1970,7,7,1,2,5,0
Seattle Liberation Front,1970,1970,7,7,3,3,1,0
Ejercito de Liberacion Nacional (Bolivia),1970,1991,4,7,3,21,2,0
Arabs,1970,1997,1,10,1,26,11,3
Sandinista National Liberation Front (FSLN),1970,1996,1,12,0,31,173,241
American Servicemen's Union (ASU),1970,1970,7,7,26,26,3,0
Revolutionary Armed Forces- Argentina (FAR-A),1970,1973,1,12,22,31,4,2
Croatian Nationalists,1970,1982,1,12,1,30,34,43
Jonathan Jackson Brigade,1970,1970,8,8,7,7,1,4
White Panther Party,1970,1970,8,8,10,10,1,0
Revolutionary Action Party,1970,1970,8,8,20,30,3,0
Turkish People's Liberation Army,1970,1980,1,12,2,31,56,19
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),1970,1991,1,12,0,31,71,19
Palestine Liberation Organization (PLO),1970,1995,1,12,1,31,154,246
Protestant extremists,1970,2013,1,12,0,31,331,345
Turkish People's Liberation Front (TPLF)(THKP-C),1970,1991,1,11,1,29,25,27
Neo-Nazi extremists,1970,2018,1,12,1,31,252,62
Front de Liberation du Quebec (FLQ),1970,1970,10,10,5,10,2,1
Quartermoon Society,1970,1971,9,10,8,24,2,0
Students for a Democratic Society (SDS) (German),1970,1970,10,10,8,8,1,0
Iranians,1970,1992,2,10,3,30,15,9
Black Liberation Army,1970,1984,1,12,2,30,36,19
Baader-Meinhof Group,1970,1977,1,12,4,30,49,12
Peronist Armed Forces (FAP),1970,1974,1,11,4,28,8,6
Basque Fatherland and Freedom (ETA),1970,2011,1,12,0,31,1878,819
Irish Republican Extremists,1970,2010,1,12,1,31,93,89
GAC,1970,1974,7,12,29,30,2,0
