,Terrorist_Org,Year,Num_Wounded,Num_Killed,Num_Attacks
0,1 May,1989,0.0,2.0,4
1,1 May,1991,0.0,0.0,3
2,1 May,1992,0.0,0.0,3
3,14 K Triad,1998,0.0,0.0,4
4,14 March Coalition,2008,80.0,5.0,1
5,14th of December Command,1990,0.0,0.0,3
6,15th of September Liberation Legion,1980,1.0,0.0,1
7,16 January Organization for the Liberation of Tripoli,1989,32.0,1.0,24
8,1920 Revolution Brigades,2004,19.0,15.0,2
9,19th of July Christian Resistance Brigade,1981,0.0,1.0,1
10,1st of May Group,1970,0.0,0.0,3
11,1st of May Group,1971,0.0,0.0,1
12,2 April Group,1983,1.0,0.0,6
13,20 December Movement (M-20),1990,0.0,0.0,6
14,20 December Movement (M-20),1991,2.0,1.0,4
15,20 December Movement (M-20),1992,12.0,0.0,6
16,22 May 1948,1988,1.0,0.0,1
17,23 May Democratic Alliance (Algeria),2009,0.0,1.0,3
18,23rd of September Communist League,1974,0.0,0.0,2
19,23rd of September Communist League,1975,4.0,32.0,7
20,23rd of September Communist League,1976,5.0,24.0,14
21,23rd of September Communist League,1977,0.0,7.0,5
22,23rd of September Communist League,1978,5.0,2.0,8
23,23rd of September Communist League,1979,0.0,5.0,6
24,23rd of September Communist League,1980,0.0,2.0,1
25,28 February Armed Group,1980,0.0,0.0,1
26,28 May Armenian Organization,1977,52.0,5.0,2
27,28s,2000,0.0,0.0,1
28,28th of December Group,1977,0.0,0.0,2
29,2nd of June Movement,1971,0.0,0.0,1
30,2nd of June Movement,1972,0.0,1.0,2
31,2nd of June Movement,1973,1.0,0.0,2
32,2nd of June Movement,1974,0.0,2.0,3
33,2nd of June Movement,1975,0.0,0.0,1
34,2nd of June Movement,1976,0.0,2.0,2
35,2nd of June Movement,1978,1.0,0.0,1
36,2nd of June Movement,1980,0.0,0.0,1
37,2nd of June Movement,1981,1.0,0.0,1
38,31 January People's Front (FP-31),1981,20.0,0.0,14
39,31 January People's Front (FP-31),1982,0.0,0.0,3
40,313 Brigade (Syria),2013,53.0,0.0,3
41,4 August National Organization,1982,0.0,0.0,2
42,7 April Libyan Organization,1985,0.0,0.0,3
43,9 February,1988,9.0,11.0,18
44,9 February,1989,6.0,0.0,3
45,9 May People's Liberation Force,1989,1.0,0.0,4
46,A Resistance Group,1986,0.0,0.0,1
47,A'chik Matgrik Elite Force (AMEF),2015,2.0,0.0,5
48,A'chik Matgrik Elite Force (AMEF),2016,0.0,0.0,1
49,AFB,1978,0.0,0.0,1
50,AGEL,1976,0.0,0.0,1
51,ATALA,1978,0.0,1.0,1
52,Aba Cheali Group,2013,3.0,4.0,1
53,Abbala extremists,2016,6.0,4.0,4
54,Abbala extremists,2017,9.0,5.0,1
55,Abd al-Krim Commandos,1979,2.0,0.0,2
56,Abdul Ghani Kikli Militia,2015,0.0,1.0,1
57,Abdul Qader Husseini Battalions of the Free Palestine movement,2013,0.0,0.0,1
58,Abdullah Azzam Brigades,2004,171.0,37.0,3
59,Abdullah Azzam Brigades,2005,111.0,92.0,2
60,Abdullah Azzam Brigades,2010,1.0,0.0,1
61,Abdullah Azzam Brigades,2011,1.0,1.0,2
62,Abdullah Azzam Brigades,2012,7.0,7.0,3
63,Abdullah Azzam Brigades,2013,157.0,29.0,8
64,Abdullah Azzam Brigades,2014,130.0,14.0,7
65,Abida Tribe,2005,0.0,0.0,1
66,Abida Tribe,2012,0.0,0.0,2
67,Abkhazian Separatists,1992,39.0,38.0,3
68,Abkhazian Separatists,1997,0.0,20.0,1
69,Abkhazian Separatists,2008,3.0,0.0,1
70,Abkhazian guerrillas,1992,0.0,15.0,1
71,Abkhazian guerrillas,2009,0.0,0.0,1
72,Abstentionist Brigades,1978,0.0,0.0,2
73,Abu Abbas Brigade,2017,0.0,0.0,1
74,Abu Abbas Brigade,2018,3.0,2.0,1
75,Abu Amarah Battalion,2016,4.0,0.0,1
76,Abu Amarah Battalion,2017,35.0,7.0,2
77,Abu Amarah Battalion,2018,0.0,5.0,2
78,Abu Bakr Unis Jabr Brigade,2014,0.0,1.0,1
79,Abu Hassan,1980,7.0,2.0,1
80,Abu Jaafar al-Mansur Brigades,2014,2.0,0.0,1
81,Abu Musa Group,1987,0.0,0.0,1
82,Abu Nidal Organization (ANO),1976,42.0,15.0,4
83,Abu Nidal Organization (ANO),1978,0.0,6.0,2
84,Abu Nidal Organization (ANO),1980,0.0,3.0,3
85,Abu Nidal Organization (ANO),1981,1.0,2.0,2
86,Abu Nidal Organization (ANO),1982,23.0,6.0,3
87,Abu Nidal Organization (ANO),1983,2.0,113.0,5
88,Abu Nidal Organization (ANO),1984,92.0,5.0,5
89,Abu Nidal Organization (ANO),1985,146.0,80.0,5
90,Abu Nidal Organization (ANO),1986,150.0,20.0,1
91,Abu Nidal Organization (ANO),1987,0.0,0.0,2
92,Abu Nidal Organization (ANO),1988,33.0,6.0,5
93,Abu Nidal Organization (ANO),1989,1.0,1.0,2
94,Abu Nidal Organization (ANO),1990,0.0,5.0,2
95,Abu Nidal Organization (ANO),1991,0.0,0.0,2
96,Abu Nidal Organization (ANO),1992,9.0,6.0,7
97,Abu Nidal Organization (ANO),1998,0.0,10.0,1
98,Abu Obaida bin Jarrah Brigade,2014,0.0,0.0,5
99,Abu Salim Martyr's Brigade,2015,0.0,0.0,1
100,Abu Sayyaf Group (ASG),1994,66.0,37.0,7
101,Abu Sayyaf Group (ASG),1995,1.0,117.0,6
102,Abu Sayyaf Group (ASG),1996,29.0,10.0,10
103,Abu Sayyaf Group (ASG),1997,0.0,2.0,2
104,Abu Sayyaf Group (ASG),1998,28.0,4.0,7
105,Abu Sayyaf Group (ASG),1999,107.0,11.0,13
106,Abu Sayyaf Group (ASG),2000,84.0,19.0,18
107,Abu Sayyaf Group (ASG),2001,103.0,55.0,14
108,Abu Sayyaf Group (ASG),2002,272.0,42.0,17
109,Abu Sayyaf Group (ASG),2003,29.0,4.0,5
110,Abu Sayyaf Group (ASG),2004,3.0,124.0,6
111,Abu Sayyaf Group (ASG),2005,119.0,10.0,9
112,Abu Sayyaf Group (ASG),2006,28.0,17.0,7
113,Abu Sayyaf Group (ASG),2007,13.0,12.0,5
114,Abu Sayyaf Group (ASG),2008,32.0,3.0,21
115,Abu Sayyaf Group (ASG),2009,58.0,19.0,19
116,Abu Sayyaf Group (ASG),2010,66.0,31.0,20
117,Abu Sayyaf Group (ASG),2011,34.0,13.0,18
118,Abu Sayyaf Group (ASG),2012,100.0,22.0,20
119,Abu Sayyaf Group (ASG),2013,34.0,22.0,32
120,Abu Sayyaf Group (ASG),2014,106.0,76.0,57
121,Abu Sayyaf Group (ASG),2015,180.0,47.0,92
122,Abu Sayyaf Group (ASG),2016,56.0,32.0,68
123,Abu Sayyaf Group (ASG),2017,54.0,52.0,55
124,Abu Sayyaf Group (ASG),2018,24.0,19.0,29
125,Abu Tira (Central Reserve Forces),2014,6.0,2.0,1
126,Aceh Singkil Islamic Care Youth Students Association (PPI),2015,4.0,1.0,3
127,Achik Matgrik Army (AMA),2016,9.0,0.0,1
128,Achik National Cooperative Army (ANCA),2014,3.0,2.0,3
129,Achik National Cooperative Army (ANCA),2015,4.0,0.0,1
130,Achik National Liberation Army (ANLA),2014,0.0,1.0,2
131,Achik National Liberation Army (ANLA),2015,0.0,0.0,1
132,Achik National Liberation Army (ANLA),2016,0.0,0.0,1
133,Achik National Volunteer Council (ANVC),2001,2.0,5.0,1
134,Achik National Volunteer Council-B (ANVC-B),2013,0.0,2.0,1
135,Achik National Volunteer Council-B (ANVC-B),2014,4.0,3.0,7
136,Achik National Volunteer Council-B (ANVC-B),2015,0.0,0.0,1
137,Achik Songna An'pachakgipa Kotok (ASAK),2014,1.0,1.0,6
138,Achik Songna An'pachakgipa Kotok (ASAK),2015,0.0,0.0,3
139,Achik Songna An'pachakgipa Kotok (ASAK),2016,1.0,0.0,6
140,Achik Songna An'pachakgipa Kotok (ASAK),2017,0.0,0.0,3
141,Achik Tiger Force,2014,0.0,0.0,1
142,Achwan-I-Mushbani,1991,3.0,1.0,1
143,Actiefront Nationalistisch Nederland,1992,0.0,0.0,2
144,Action Cell Haukur Hilmarsson,2018,0.0,0.0,1
145,Action Directe,1980,7.0,0.0,10
146,Action Directe,1982,8.0,0.0,8
